Name,Net,# Tourns,Net/Tourn,Your Huckleberry,Favorite Target
BigByteMe,56,16,3.50,MattDeLateur,RDeLateur
SDeLateur,51.75,30,1.73,RDeLateur,RDeLateur
MattDeLateur,18.75,19,0.99,SDeLateur,RDeLateur
GrossR,-20,4,-5.00,BigByteMe,No one
KOThompson,-29,8,-3.63,RDeLateur,MattDeLateur
RDeLateur,-30.5,33,-0.92,SDeLateur,MDeLateur
MDeLateur,-47,21,-2.24,RDeLateur,SDeLateur

High Rollers Standings
SDeLateur,400,2,200.00,No one,RDeLateur
BigByteMe,-100,1,-100.00,SDeLateur,No one
RDeLateur,-300,2,-150.00,SDeLateur,No one
